9×8 DataFrame
 Row │ parameters  mean       std       naive_se    mcse       ess      rhat      ess_per_sec
     │ Symbol      Float64    Float64   Float64     Float64    Float64  Float64   Float64
─────┼────────────────────────────────────────────────────────────────────────────────────────
   1 │ α            70.7049   5.70978   0.0638372   0.164864   1353.74  1.00015       27.5033
   2 │ β[1]          3.25087  1.25589   0.0140412   0.0210992  3448.24  0.999756      70.0563
   3 │ β[2]        -11.5816   1.24749   0.0139474   0.0202346  3511.89  0.999775      71.3494
   4 │ β[3]          7.18857  1.23827   0.0138443   0.0209749  3381.35  0.99972       68.6972
   5 │ β[4]          1.23144  1.25783   0.0140629   0.0212949  3141.82  0.999772      63.8308
   6 │ σ             6.00683  0.274647  0.00307065  0.0042206  4766.07  1.0003        96.83
   7 │ τ             6.55056  6.34343   0.0709217   0.161918   1757.96  1.00416       35.7156
   8 │ αⱼ[1]        -3.45676  5.64177   0.0630769   0.165614   1335.34  1.00019       27.1295
   9 │ αⱼ[2]         3.69883  5.64633   0.0631279   0.16462    1334.24  1.0002        27.1071
