15×8 DataFrame
 Row │ parameters  mean        std       naive_se    mcse        ess       rhat     ess_per_sec
     │ Symbol      Float64     Float64   Float64     Float64     Float64   Float64  Float64
─────┼──────────────────────────────────────────────────────────────────────────────────────────
   1 │ α           71.7565     8.02456   0.0897173   0.367218     237.98   1.02027     0.92551
   2 │ σ            5.87263    0.261976  0.00292898  0.00554319  1981.28   1.00224     7.70523
   3 │ τₐ           6.38706    6.52443   0.0729454   0.165376    1822.61   1.00578     7.08817
   4 │ τᵦ[1]        6.09447    5.37293   0.0600712   0.173534     716.495  1.0069      2.78647
   5 │ τᵦ[2]        6.75202    6.16084   0.0688802   0.344854     134.199  1.03435     0.521901
   6 │ αⱼ[1]       -3.75526    5.52406   0.0617609   0.155873    1279.59   1.00054     4.97637
   7 │ αⱼ[2]        3.42156    5.5182    0.0616954   0.155046    1301.3    1.00054     5.0608
   8 │ βⱼ[1,1]      0.208397   0.809126  0.00904631  0.0192226   2199.62   1.00105     8.55439
   9 │ βⱼ[2,1]     -0.911891   1.0565    0.0118121   0.0272848   1513.56   1.0019      5.88628
  10 │ βⱼ[3,1]      0.518425   0.877849  0.00981465  0.0213334   1869.26   1.00255     7.26958
  11 │ βⱼ[4,1]     -0.0271807  0.915114  0.0102313   0.0511887    103.484  1.03649     0.402451
  12 │ βⱼ[1,2]      0.231053   0.824283  0.00921577  0.0211158   1357.62   1.00276     5.27981
  13 │ βⱼ[2,2]     -0.91239    1.04135   0.0116427   0.024434    2210.34   1.00319     8.59606
  14 │ βⱼ[3,2]      0.521613   0.931685  0.0104166   0.0312735    582.521  1.00624     2.26544
  15 │ βⱼ[4,2]      0.0614634  0.803627  0.00898482  0.0189511   2000.35   1.00192     7.77942
